image_id      True_Positive       Precision                    Recall
001598.jpg             49          0.98                           0.5764705882352941
001602.jpg             50          0.9803921568627451                           0.5813953488372093
001618.jpg             51          0.9807692307692307                           0.5862068965517241
001651.jpg             52          0.9811320754716981                           0.5909090909090909
001697.jpg             53          0.9814814814814815                           0.5955056179775281
001719.jpg             54          0.9818181818181818                           0.6
001728.jpg             55          0.9821428571428571                           0.6043956043956044
001854.jpg             56          0.9824561403508771                           0.6086956521739131
001855.jpg             57          0.9827586206896551                           0.6129032258064516
001941.jpg             58          0.9830508474576272                           0.6170212765957447
001948.jpg             59          0.9833333333333333                           0.6210526315789474
002028.jpg             60          0.9836065573770492                           0.625
002036.jpg             60          0.967741935483871                           0.625
002045.jpg             61          0.9682539682539683                           0.6288659793814433
002056.jpg             61          0.953125                           0.6288659793814433
002058.jpg             62          0.9538461538461539                           0.6326530612244898
002068.jpg             63          0.9545454545454546                           0.6363636363636364
002123.jpg             64          0.9552238805970149                           0.64
002135.jpg             65          0.9558823529411765                           0.6435643564356436
002153.jpg             66          0.9565217391304348                           0.6470588235294118
002154.jpg             67          0.9571428571428572                           0.6504854368932039
002173.jpg             68          0.9577464788732394                           0.6538461538461539
002184.jpg             69          0.9583333333333334                           0.6571428571428571
002188.jpg             70          0.958904109589041                           0.660377358490566
002429.jpg             71          0.9594594594594594                           0.6635514018691588
002433.jpg             72          0.96                           0.6666666666666666
002512.jpg             73          0.9605263157894737                           0.6697247706422018
002559.jpg             74          0.961038961038961                           0.6727272727272727
002590.jpg             75          0.9615384615384616                           0.6756756756756757
002613.jpg             76          0.9620253164556962                           0.6785714285714286
002622.jpg             77          0.9625                           0.6814159292035398
002696.jpg             77          0.9506172839506173                           0.6814159292035398
002767.jpg             78          0.9512195121951219                           0.6842105263157895
002842.jpg             79          0.9518072289156626                           0.6869565217391305
002845.jpg             80          0.9523809523809523                           0.6896551724137931
002856.jpg             81          0.9529411764705882                           0.6923076923076923
002892.jpg             82          0.9534883720930233                           0.6949152542372882
002969.jpg             83          0.9540229885057471                           0.6974789915966386
002993.jpg             84          0.9545454545454546                           0.7
003013.jpg             84          0.9438202247191011                           0.7
003034.jpg             85          0.9444444444444444                           0.7024793388429752
003049.jpg             86          0.945054945054945                           0.7049180327868853
003147.jpg             87          0.9456521739130435                           0.7073170731707317
003150.jpg             88          0.946236559139785                           0.7096774193548387
003158.jpg             89          0.9468085106382979                           0.712
003276.jpg             90          0.9473684210526315                           0.7142857142857143
003308.jpg             91          0.9479166666666666                           0.7165354330708661
003315.jpg             92          0.9484536082474226                           0.71875
003391.jpg             93          0.9489795918367347                           0.7209302325581395
003410.jpg             94          0.9494949494949495                           0.7230769230769231
003425.jpg             95          0.95                           0.7251908396946565
003427.jpg             96          0.9504950495049505                           0.7272727272727273
003435.jpg             97          0.9509803921568627                           0.7293233082706767
003437.jpg             98          0.9514563106796117                           0.7313432835820896
003465.jpg             99          0.9519230769230769                           0.7333333333333333
003517.jpg             100          0.9523809523809523                           0.7352941176470589
003524.jpg             101          0.9528301886792453                           0.7372262773722628
003552.jpg             102          0.9532710280373832                           0.7391304347826086
003566.jpg             103          0.9537037037037037                           0.7410071942446043
003628.jpg             104          0.9541284403669725                           0.7428571428571429
003688.jpg             104          0.9454545454545454                           0.7428571428571429
003700.jpg             105          0.9459459459459459                           0.7446808510638298
003817.jpg             106          0.9464285714285714                           0.7464788732394366
003818.jpg             107          0.9469026548672567                           0.7482517482517482
003871.jpg             108          0.9473684210526315                           0.75
003877.jpg             109          0.9478260869565217                           0.7517241379310344
003884.jpg             110          0.9482758620689655                           0.7534246575342466
003907.jpg             111          0.9487179487179487                           0.7551020408163265
003926.jpg             112          0.9491525423728814                           0.7567567567567568
003939.jpg             113          0.9495798319327731                           0.7583892617449665
004052.jpg             114          0.95                           0.76
004055.jpg             115          0.9504132231404959                           0.7615894039735099
004058.jpg             116          0.9508196721311475                           0.7631578947368421
004074.jpg             117          0.9512195121951219                           0.7647058823529411
004091.jpg             118          0.9516129032258065                           0.7662337662337663
